Title,Article,topic,topic_name
"UK film and theatre legend Joan Plowright dies, aged 95","oscarnominated, english, actor, joan, plowright, acknowledge, lead, actor, generation, die, age, family, friday, star, theatre, late, screen, plowright, wife, great, actor, laurence, olivier, great, sadness, family, dame, joan, plowright, lady, olivier, inform, pass, away, peacefully, january, surround, family, denville, hall, glorious, age, brilliant, career, remember, wonderful, cherish, child, richard, tamsin, juliekate, family, joans, friend, add, plowrights, career, largely, play, theatre, opposite, husband, follow, death, begin, find, role, screen, late, film, television, work, introduce, new, generation, film, particular, italy, film, enchant, april, set, s, play, acidtongued, mrs, fisher, miss, oscar, marisa, tomei, film, italy, franco, zeffirellis, film, tea, mussolini, set, florence, team, dame, english, stage, maggie, smith, judi, dench, actor, win, golden, globe, year, enchant, april, hbo, tv, series, stalin, appear, film, attract, young, audience, dennis, menace, action, hero, dalmatian, plowright, win, tony, performance, taste, honey, begin, adjust, career, accommodate, husband, direct, chichester, festival, theatre, launch, national, theatre, include, perform, alongside, olivier, stage, receive, plaudits, sonya, oliviers, uncle, vanya, time, completely, child, plowright, suffer, macular, degeneration, gradually, cause, lose, sight, lead, retire, act, wrench, admit, time, decision, everybody, time, life, good, life, lucky, good, turn, olivier, award, husband, friday, announce, theatre, light, londons, west, end, dim, minute, memory, tuesday",7,Environment and Urban Issues
TikTok shuts down US access as Trump seeks app's reinstatement,"tiktok, disconnect, access, user, unite, state, late, saturday, shortly, national, ban, app, effect, presidentelect, donald, trump, unable, intervene, office, law, ban, tiktok, enact, message, user, attempt, use, app, unfortunately, mean, cant, use, tiktok, fortunate, president, trump, indicate, work, solution, reinstate, tiktok, office, message, add, stay, tune, month, legal, tussle, supreme, court, friday, uphold, law, ban, popular, videosharing, platform, national, security, chinese, owner, reach, deal, sell, nonchinese, buyer, sunday, teenage, dancer, grandmother, share, cook, tip, tiktok, embrace, ability, transform, ordinary, user, global, celebrity, video, viral, fan, trump, credit, app, connect, young, voter, contribute, election, victory, november, discuss, tiktok, chinese, president, xi, jinping, trump, tell, nbc, news, saturday, activate, day, reprieve, reclaim, oval, office, think, certainly, option, look, day, extension, likely, appropriate, ahead, monday, inauguration, decide, ill, probably, announce, monday, law, allow, day, delay, white, house, progress, viable, deal, tiktok, owner, bytedance, flatly, refuse, sale, administration, outgoing, president, joe, biden, leave, matter, trump, white, house, spokeswoman, karine, jeanpierre, qualify, tiktoks, late, statement, stunt, court, defeat, tiktok, ceo, shou, chew, appeal, trump, thank, commitment, work, find, solution, trump, truly, understand, platform, add, chew, set, attend, trump, inauguration, monday, law, require, apple, google, remove, tiktok, app, store, block, new, download, company, face, penalty, usd, user, access, app, oracle, host, tiktoks, server, legally, obligate, enforce, ban, company, respond, request, comment, saturday, lastminute, proposal, saturday, highlyvalued, startup, perplexity, ai, offer, merger, subsidiary, tiktok, source, knowledge, deal, tell, afp, deal, allow, parent, company, bytedance, possible, solution, sell, app, entirely, plan, report, broadcaster, cnbc, create, new, joint, venture, combine, asset, tiktok, perplexity, ai, amazon, founder, jeff, bezos, proposal, include, price, transaction, source, estimate, usd, billion, frank, mccourt, los, angeles, dodger, owner, offer, purchase, tiktoks, activity, hes, ready, work, company, president, trump, complete, deal, canadian, investor, kevin, oleary, involve, offer, tell, fox, news, bytedance, offer, usd, billion, tiktoks, operation, acknowledge, legal, uncertainty, case, remain, open, question, executive, order, trump, halt, ban, override, law, congress, write, law, virtually, presidentproof, warn, adam, kovacevich, chief, executive, industry, trade, group, chamber, progress, sarah, kreps, professor, government, law, cornell, university, executive, order, conflict, exist, law, law, precedence, order, strike, court, tiktok, force, shutdown, usbased, rival, instagram, reel, youtube, short, reap, benefit, thousand, worry, tiktok, user, protectively, turn, xiaohongshu, little, red, book, chinese, social, medium, network, similar, instagram, nickname, red, note, american, user, download, app, apple, store, week",3,Technology and Global Leadership
Chief Adviser to visit ‘Aynaghar’ soon,"chief, adviser, dr, muhammad, yunus, visit, aynagar, soon, dr, yunus, meet, member, commission, inquiry, enforce, disappearance, state, guest, house, jamuna, sunday, afternoon, inform, chief, adviser, progress, investigation, case, enforce, disappearance, member, commission, request, visit, joint, interrogation, cell, know, aynahgor, mirror, house, chief, adviser, visit, aynaghor, victim, disappearance, feel, free, safe, meet, commission, chief, adviser, description, brutal, torture, victim, enforce, disappearance, disappearance, sixyearold, child, reveal, investigation, respond, commission, chief, adviser, muhammad, yunus, story, come, light, investigation, commission, shock, dr, yunus, visit, aynaghor, soon",8,Governance and Administration
"Political consideration in health research, no benefit for nation","bangladesh, medical, research, council, bmrc, fund, average, research, project, annually, total, project, period, nation, receive, benefit, research, bmrcfunded, project, turn, valueless, irregularity, corruption, bmrc, large, medical, research, facility, bangladesh, analysis, record, reveal, research, project, approve, base, political, consideration, award, awami, league, minister, good, leader, activist, proawami, league, physician, group, swadhinata, chikitsak, parishad, swachip, allegation, bribery, fund, allocation, process, surface, accord, bmrc, invite, research, proposal, year, public, circular, forward, submission, anonymously, reviewer, approve, proposal, send, scientific, review, committee, allocate, fund, final, approval, bmrc, chairman, professor, ma, mannan, professor, mahmud, hasan, professor, syed, modasser, ali, director, professor, harunorrashid, professor, habibe, millat, mahduduzjahan, professor, ruhul, amin, professor, syed, modasser, ali, professor, modasser, ali, serve, chairman, director, november, june, speak, prothom, alo, january, professor, syed, modasser, ali, claim, impossible, bmrc, chairman, influence, researchrelated, activity, engage, corruption, senior, physician, bangladesh, medical, association, president, professor, rashidemahbub, raise, question, regard, capability, bmrc, leadership, appoint, bmrc, lack, proper, understand, research, people, sound, understand, research, permit, bmrc, fund, share, collusion, official, employee, certain, individual, report, cutpaste, work, genuine, research, skill, manpower, verify, bmrc, sponsor, research, project, development, revenue, fund, researcher, physician, include, postgraduate, student, medical, research, council, fund, research, project, total, average, project, year, total, tk, million, allocate, research, period, equate, average, tk, project, student, researcher, receive, grant, year, period, allocation, range, tk, tk, apart, student, low, allocation, tk, grant, shah, arman, dhaka, universitys, pharmacy, department, fiscal, year, contrast, sn, associate, firm, base, dhakas, aftabnagar, receive, high, allocation, tk, million, covid, research, backdrop, question, arise, highquality, medical, research, conduct, low, fund, professor, syed, modasser, ali, admit, quality, research, impossible, limit, resource, long, policy, influencer, awami, league, regime, serve, health, affair, adviser, oust, prime, minister, ismat, ara, parvin, instructor, government, nurse, college, mohakhali, receive, tk, study, asthma, inhaler, use, year, receive, total, tk, million, research, project, contact, claim, complete, research, project, ask, research, report, ready, provide, single, report, inaccessible, technical, glitch, personal, computer, allegation, qualify, researcher, despite, submit, application, proper, way, deny, grant, select, receive, repeat, fund, example, mohammad, ibrahim, khalil, shaheed, suhrawardy, medical, college, receive, grant, time, total, tk, million, involve, chhatra, league, student, life, swachip, politic, professional, life, case, researcher, receive, fund, twice, single, year, aytunnesa, assistant, professor, pathology, birdem, hospital, receive, tk, tk, separately, autism, research, fiscal, year, grant, fund, research, project, total, health, minister, professor, afm, ruhul, haque, serve, swachip, president, decade, receive, grant, tk, research, project, fy, fy, similarly, swachip, secretary, general, professor, iqbal, arsalan, serve, position, afm, ruhul, haques, presidency, receive, grant, time, total, tk, million, individual, affiliate, swachip, find, list, grant, recipient, private, research, firm, condition, anonymity, allege, bmrc, fund, allocate, type, people, swachip, affiliate, pay, bribe, individual, familiar, process, write, bmrc, regard, irregularity, research, allocation, researcher, claim, pay, additional, fee, require, cent, valueaddedtax, vat, bmrc, director, mahmuduzzaman, confirm, extra, fee, collect, administrative, audit, purpose, deny, bribe, january, prothom, alo, contact, bmrc, director, nurul, huda, scientific, officer, sajedur, rahman, regard, research, finding, impact, confirm, research, paper, publish, domestic, international, journal, government, development, project, initiate, base, research, outcome, researcher, submit, copy, report, medical, research, council, store, library, office, concern, bmrc, official, note, researcher, public, turn, access, report, instance, medium, report, research, finding, allegation, research, low, quality, little, relevance, unnecessary, hossain, zillur, rahman, note, economist, caretaker, government, adviser, describe, bmrc, situation, reflection, overall, failure, health, sector, research, value, carry, solely, exhaust, fund, issue, nepotism, leadership, policymaking, level, attach, importance, research, health, professional, share, responsibility, failure",1,Research and Development
Reform reports sans political parties’ consensus won’t be acceptable: Mirza Fakhrul,"bangladesh, nationalist, party, bnp, secretary, general, mirza, fakhrul, islam, alamgir, report, reform, commission, acceptable, consensus, political, party, mirza, fakhrul, remark, speak, journalist, pay, tribute, grave, bnp, founder, ziaur, rahman, capital, sherebangla, nagar, sunday, occasion, party, founder, birth, anniversary, reply, query, bnps, reaction, submission, report, reform, commission, mirza, fakhrul, islam, initially, comment, receive, report, government, plan, hold, talk, political, party, report, decision, finally, acceptable, consensus, reply, query, bnps, demand, hold, election, julyaugust, quarter, label, unrealistic, mirza, fakhrul, repeatedly, contradiction, reform, election, party, come, power, election, continue, reform, initiative, clarify, party, forward, reform, initiative, speak, party, founder, bnp, leader, ziaur, rahman, soldier, declare, independence, bangladesh, people, bangladesh, join, liberation, war, similarly, ziaur, rhaman, come, power, sepoyjanata, biplob, soldier, people, revolution, start, work, new, reform, short, time, build, modern, prosperous, bangladesh, mirza, fakhrul, state, add, ziaur, rhaman, introduce, multiparty, democracy, reform, party, ziaur, rhaman, found, large, party, country, overcome, obstacle, year, successor, khaleda, zia, strengthen, party, ill, london, pray, recovery, mirza, fakhrul, add, mirza, fakhrul, expect, unity, people, strong, system, establish, return, democracy, election, soon, possible",2,Politics and Policy
Commission considers proposal for four provinces in the country,"public, administration, reform, commission, deliberate, proposal, divide, countrys, original, division, province, potentially, hand, management, issue, include, national, security, province, wednesday, reform, commission, constitutional, electoral, police, anticorruption, reform, submit, report, chief, adviser, professor, muhammad, yunus, public, administration, reform, commission, submit, report, head, member, present, event, provide, glimpse, prospective, recommendation, include, idea, form, province, accord, inform, source, commission, possible, recommendation, creation, provincesdhaka, chattogram, rajshahi, khulnaas, broad, strategy, decentralisation, detail, management, structure, function, province, remain, undecided, member, commission, state, proposal, discussion, phase, final, recommendation, proposal, involve, constitutional, change, specific, determine, idea, create, multiple, province, bangladesh, new, onemonth, anniversary, interim, government, adviser, sakhawat, hossain, write, article, title, time, state, repair, propose, creation, province, article, publish, prothom, alo, hossain, emphasise, need, decentralisation, country, population, approximately, million, populous, world, despite, small, geographical, size, bangladesh, benefit, divide, province, adopt, federal, structure, accord, hossain, province, establish, eastern, region, west, encompass, great, dhaka, metropolitan, dhaka, remain, central, rule, central, government, retain, control, defense, foreign, affair, border, maritime, security, communication, foreign, aid, central, government, oversee, matter, province, manage, issue, directly, local, governance, expert, professor, tofail, ahmed, support, idea, form, province, bangladesh, reason, response, sakhawat, hossains, column, pen, column, prothom, alo, express, reservation, proposal, tofail, ahmed, currently, head, local, government, reform, commission, reiterate, view, approach, yesterday, speak, prothom, alo, generally, argue, writingsand, firmly, believeis, bangladesh, geographically, small, country, large, population, significant, division, term, linguistic, geographical, factor, strengthen, local, government, empower, function, effectively, address, issue, hand, create, province, solve, problem, introduce, new, presently, bangladesh, divide, administrative, division, dhaka, chattogram, rajshahi, khulna, barishal, sylhet, rangpur, mymensingh, additionally, discussion, elevate, comilla, faridpur, divisional, status, public, administration, reform, commission, include, possibility, divide, comilla, faridpur, separate, division, draft, recommendation, report, submit, constitutional, reform, commission, january, emphasise, autonomy, local, government, institution, include, recommendation, decentralise, judiciary, establish, permanent, high, court, bench, division, grant, equal, jurisdiction, exist, high, court, division, october, cabinet, division, issue, notification, establish, reform, commission, include, public, administration, reform, commission, caretaker, government, adviser, exsecretary, abdul, muyeed, chowdhury, head, commission, initially, expect, submit, report, december, commission, receive, onemonth, extension, complete, work, december, commission, hold, viewsharing, meet, journalist, ministry, public, administration, meet, abdul, muyeed, chowdhury, member, secretary, senior, secretary, md, mokhles, ur, rahman, share, potential, recommendation, discuss, proposal, idea, cent, quota, administration, cadre, official, cent, cadre, promotion, post, deputy, secretary, proposal, suggest, exclude, education, health, sector, cadre, system, place, separate, commission, proposal, spark, significant, reaction, official, different, cadre, administration, cadre, official, strongly, oppose, recommendation, regard, promotion, quota, emphasise, unwillingness, accept, reference, rule, appellate, division, support, stance, similarly, official, education, health, sector, raise, objection, proposal, remove, field, cadre, system, reaction, considerable, uncertainty, contentious, recommendation, final, report, source, commission, reveal, discussion, quota, system, ongoing, evaluate, potential, advantage, disadvantage, maintain, remove, quota, far, discussion, matter, plan, today, sunday, approach, comment, commission, chief, abdul, muyeed, chowdhury, decline, provide, remark, subject, possible, recommendation, commission, include, abolish, police, verification, systemused, verify, identity, address, political, affiliationin, field, include, recruitment, additionally, propose, designate, officer, district, oversee, matter, right, information, act",8,Governance and Administration
"Tk 80 billion spent, yet no respite from water logging","project, aim, eradicate, waterlogging, crisis, chattogram, year, deadline, project, end, june, year, work, finish, remain, work, project, suppose, end, month, half, year, near, completion, problem, project, identify, moment, chattogram, divisional, commissioner, office, prepare, report, progress, challenge, suggestion, divisional, commissioner, md, ziauddin, submit, report, high, authority, january, report, forward, chief, adviser, principal, secretary, cabinet, secretary, power, energy, mineral, resource, ministry, secretary, personal, secretary, adviser, project, tk, billion, total, tk, billion, spend, despite, spend, huge, resident, port, city, benefit, perennial, waterlogging, problem, persist, city, water, heavy, monsoon, rain, project, finance, properly, government, face, legal, complication, evict, illegal, structure, build, bank, canal, canal, result, construction, work, land, acquisition, stall, obstacle, problem, identify, early, government, effective, step, interim, government, active, address, waterlogging, problem, chattogram, city, start, monsoon, season, direction, chief, adviser, professor, muhammad, yunus, meet, hold, january, determine, resolve, waterlogging, problem, advisersmuhammad, fouzul, kabir, khan, syeda, rizwana, hasan, farukeazamwere, present, decision, meet, hold, conference, room, power, energy, mineral, resource, ministry, responsibility, organisation, determine, early, chattogram, divisional, commissioner, hold, meet, organization, implement, project, january, advisor, hold, meet, sunday, afternoon, discuss, water, log, issue, stakeholder, muhammad, fouzul, kabir, khan, syeda, rizwana, hasan, adilur, rahman, khan, farukeazam, inspect, project, work, today, chattogram, city, corporation, mayor, shahadat, hossain, pin, hope, positive, result, regard, water, log, problem, government, initiative, chief, adviser, charge, adviser, oversee, development, hold, special, meet, chattogram, chattogram, development, authority, cda, project, canal, canal, include, project, waterlogging, problem, solve, cent, project, cda, implement, project, city, corporation, water, development, board, despite, involvement, organisation, heavy, rainfall, tidal, water, inundate, city, time, monsoon, season, report, project, require, tk, billion, infrastructure, development, land, acquisition, defrayedamong, project, project, worth, tk, billion, title, reexcavation, expansion, renovation, development, canal, reduce, waterlogging, chattogram, city, high, numb, problem, apart, receive, necessary, fund, notable, problem, project, fill, canal, drain, hill, cut, deforestation, despite, clean, canal, drain, fill, garbage, lack, awareness, people, complication, remove, illegal, structure, build, bank, canal, canal, area, obstacle, construction, work, lack, road, canal, engineer, construction, brigade, ecb, army, work, implementation, project, cda, project, work, progress, cent, tk, billion, spend, project, end, june, year, new, canal, excavation, project, baraipara, karnaphuli, river, approve, year, ago, implement, cost, tk, billion, end, june, year, project, term, extend, late, city, corporation, cite, obstacle, include, nonextension, term, complexity, land, acquisition, case, complexity, administrative, approval, obtain, half, acre, land, canal, maintenance, main, obstacle, road, construction, project, kalurghat, bridge, chaktai, canal, bank, karnaphuli, river, main, release, require, fund, complexity, relate, compensation, relate, land, acquisition, nonavailability, fund, procure, land, project, worth, tk, billion, suppose, end, june, progress, project, cent, water, development, board, project, title, flood, control, waterlogging, waterlogging, mitigation, drainage, development, chattogram, city, face, major, problem, nonavailability, require, allocation, problem, relate, land, acquisition, nonavailability, tk, billion, fund, period, project, cost, tk, billion, end, june, year, time, extend, meet, dhaka, attend, adviser, january, role, organisation, determine, district, administration, police, department, environment, charge, step, stop, hill, cut, city, corporation, task, cleanse, canal, drain, cda, water, development, board, ecb, army, charge, sluice, gate, prevent, tidal, surge, work, office, divisional, commissioner, hold, meet, month, coordinate, work, port, authority, look, dredge, maintain, navigability, karnaphuli, river, delowar, majumder, chairman, engineer, institution, bangladesh, ieb, chattogram, chapter, project, faulty, incomplete, problem, identify, early, effective, step, interim, government, emphasize, solve, problem, identify, special, attention, fund, allocation, resolve, case, relate, land, acquisition, waterlogging, problem, solve, effectively",1,Research and Development
"Inauguration day, Trump-style: What will happen?","year, americas, president, swear, inauguration, day, newly, elect, return, office, longestablished, ceremony, hold, amid, pageantry, shape, incoming, leader, personal, flourish, mean, inauguration, donald, trump, queue, village, people, social, medium, titan, leave, mitten, scarf, follow, lastminute, decision, inauguration, indoor, preview, pomp, circumstance, unfold, monday, trump, swear, president, constitution, mandate, new, president, term, begin, noon, january, day, fall, sunday, president, oath, office, recent, year, president, swear, enormous, temporary, platform, capitol, scenic, west, lawn, year, owe, frigid, forecast, place, inside, capitol, rotunda, oath, administer, supreme, court, chief, justice, monday, mark, john, robertss, time, officiate, trump, new, president, deliver, inaugural, address, lay, plan, year, republican, ring, term, particularly, dark, speech, evoke, american, carnage, incoming, vice, president, jd, vance, swear, particularly, trumpian, twist, republican, invite, numb, tech, titan, attend, inauguration, join, traditional, guest, cabinet, nominee, billionaires, elon, musk, jeff, bezos, mark, zuckerberg, attend, shou, chew, head, chinese, social, medium, giant, tiktok, accord, medium, trump, court, close, tie, tech, mogul, campaign, benefit, disinformation, spread, social, medium, platform, tiktok, musk, x, zuckerbergs, facebook, instagram, outgoing, president, joe, biden, attend, ceremony, despite, trump, refusal, appear, bidens, swearingin, beat, trump, live, president, bill, clinton, george, w, bush, barack, obama, attend, wife, michelle, obama, mean, hillary, clinton, trump, beat, presidential, election, addition, vice, president, kamala, harris, beat, november, head, state, traditionally, invite, trump, send, invitation, handful, foreign, leader, include, share, rightwing, politic, farright, italian, prime, minister, giorgia, meloni, attend, office, confirm, saturday, hungarys, viktor, orban, argentine, president, javier, milei, china, xi, jinping, invite, attend, crowd, size, preoccupation, trump, lastminute, switch, indoor, event, dent, brag, right, ticket, distribute, public, trump, announce, friday, frigid, temperature, mean, inauguration, shift, capitol, rotunda, accommodate, people, trump, supporter, watch, live, fee, washingtons, capital, sport, arena, hold, promise, drop, late, beautiful, experience, presidentelect, trump, prepare, sign, multiple, executive, order, early, day, office, aim, undo, biden, administration, policy, promise, pledge, launch, mass, deportation, program, increase, oil, drill, immediately, begin, pardon, january, rioter, follower, ransack, capitol, immediately, inauguration, meet, plan, official, foreign, minister, japan, india, australia, socalled, quad, biden, administration, counterweight, assertive, china, trump, inauguration, mark, lack, celebrity, power, alist, musician, associate, trump, inauguration, good, shape, country, star, carrie, underwood, sing, america, beautiful, swearingin, ceremony, perform, country, singer, lee, greenwood, patriotic, anthem, god, bless, usa, standard, trump, rally, preinauguration, rally, sunday, include, performance, village, people, serum, ymca, trump, event, staple, addition, kid, rock, billy, ray, cyrus, country, musician, include, jason, aldean, rascal, flatts, gavin, degraw, plus, village, people, perform, trump, official, inaugural, ball, trump, expect, attend, official, inaugural, gala, monday, night, dozen, plan, addition, america, great, victory, rally, sunday, capital, arena",3,Technology and Global Leadership
"UK film and theatre legend Joan Plowright dies, aged 95","oscarnominated, english, actor, joan, plowright, acknowledge, lead, actor, generation, die, age, family, friday, star, theatre, late, screen, plowright, wife, great, actor, laurence, olivier, great, sadness, family, dame, joan, plowright, lady, olivier, inform, pass, away, peacefully, january, surround, family, denville, hall, glorious, age, brilliant, career, remember, wonderful, cherish, child, richard, tamsin, juliekate, family, joans, friend, add, plowrights, career, largely, play, theatre, opposite, husband, follow, death, begin, find, role, screen, late, film, television, work, introduce, new, generation, film, particular, italy, film, enchant, april, set, s, play, acidtongued, mrs, fisher, miss, oscar, marisa, tomei, film, italy, franco, zeffirellis, film, tea, mussolini, set, florence, team, dame, english, stage, maggie, smith, judi, dench, actor, win, golden, globe, year, enchant, april, hbo, tv, series, stalin, appear, film, attract, young, audience, dennis, menace, action, hero, dalmatian, plowright, win, tony, performance, taste, honey, begin, adjust, career, accommodate, husband, direct, chichester, festival, theatre, launch, national, theatre, include, perform, alongside, olivier, stage, receive, plaudits, sonya, oliviers, uncle, vanya, time, completely, child, plowright, suffer, macular, degeneration, gradually, cause, lose, sight, lead, retire, act, wrench, admit, time, decision, everybody, time, life, good, life, lucky, good, turn, olivier, award, husband, friday, announce, theatre, light, londons, west, end, dim, minute, memory, tuesday",7,Environment and Urban Issues
TikTok shuts down US access as Trump seeks app's reinstatement,"tiktok, disconnect, access, user, unite, state, late, saturday, shortly, national, ban, app, effect, presidentelect, donald, trump, unable, intervene, office, law, ban, tiktok, enact, message, user, attempt, use, app, unfortunately, mean, cant, use, tiktok, fortunate, president, trump, indicate, work, solution, reinstate, tiktok, office, message, add, stay, tune, month, legal, tussle, supreme, court, friday, uphold, law, ban, popular, videosharing, platform, national, security, chinese, owner, reach, deal, sell, nonchinese, buyer, sunday, teenage, dancer, grandmother, share, cook, tip, tiktok, embrace, ability, transform, ordinary, user, global, celebrity, video, viral, fan, trump, credit, app, connect, young, voter, contribute, election, victory, november, discuss, tiktok, chinese, president, xi, jinping, trump, tell, nbc, news, saturday, activate, day, reprieve, reclaim, oval, office, think, certainly, option, look, day, extension, likely, appropriate, ahead, monday, inauguration, decide, ill, probably, announce, monday, law, allow, day, delay, white, house, progress, viable, deal, tiktok, owner, bytedance, flatly, refuse, sale, administration, outgoing, president, joe, biden, leave, matter, trump, white, house, spokeswoman, karine, jeanpierre, qualify, tiktoks, late, statement, stunt, court, defeat, tiktok, ceo, shou, chew, appeal, trump, thank, commitment, work, find, solution, trump, truly, understand, platform, add, chew, set, attend, trump, inauguration, monday, law, require, apple, google, remove, tiktok, app, store, block, new, download, company, face, penalty, usd, user, access, app, oracle, host, tiktoks, server, legally, obligate, enforce, ban, company, respond, request, comment, saturday, lastminute, proposal, saturday, highlyvalued, startup, perplexity, ai, offer, merger, subsidiary, tiktok, source, knowledge, deal, tell, afp, deal, allow, parent, company, bytedance, possible, solution, sell, app, entirely, plan, report, broadcaster, cnbc, create, new, joint, venture, combine, asset, tiktok, perplexity, ai, amazon, founder, jeff, bezos, proposal, include, price, transaction, source, estimate, usd, billion, frank, mccourt, los, angeles, dodger, owner, offer, purchase, tiktoks, activity, hes, ready, work, company, president, trump, complete, deal, canadian, investor, kevin, oleary, involve, offer, tell, fox, news, bytedance, offer, usd, billion, tiktoks, operation, acknowledge, legal, uncertainty, case, remain, open, question, executive, order, trump, halt, ban, override, law, congress, write, law, virtually, presidentproof, warn, adam, kovacevich, chief, executive, industry, trade, group, chamber, progress, sarah, kreps, professor, government, law, cornell, university, executive, order, conflict, exist, law, law, precedence, order, strike, court, tiktok, force, shutdown, usbased, rival, instagram, reel, youtube, short, reap, benefit, thousand, worry, tiktok, user, protectively, turn, xiaohongshu, little, red, book, chinese, social, medium, network, similar, instagram, nickname, red, note, american, user, download, app, apple, store, week",3,Technology and Global Leadership
Power sector: Adani Group sets July deadline to pay dues,"indias, adani, group, set, july, deadline, bangladesh, government, pay, power, outstanding, bill, bangladesh, power, development, board, pdb, sunday, receive, letter, indian, conglomerate, regard, early, adani, group, send, letter, authority, set, november, deadline, pay, time, company, pressure, government, speak, shut, production, unit, adani, group, letter, pdb, group, owe, million, bangladesh, money, outstanding, power, export, bangladesh, january, money, pay, june, pdb, pay, delay, fee, alongside, pdb, official, tell, prothom, alo, dispute, coal, price, bill, adani, calculate, coal, price, account, method, mention, agreement, pdb, calculate, bill, consider, actual, coal, price, result, discrepancy, appear, calculation, accord, pdb, million, despite, old, money, pay, regularly, adani, group, pdb, send, letter, long, time, adani, powerplant, situate, godda, jharkhand, india, coalfired, twounit, powerplant, generation, capacity, mw, agreement, bangladesh, buy, electricity, year, unit, godda, powerplant, come, commercial, generation, april, production, unit, begin, june, year, pdb, sign, power, import, agreement, adani, group, plant, supply, mw, day, compromise, bill, payment, reach, company, shut, unit, november, year, adani, group, resume, power, production, close, unit, pdb, open, new, lcs, letter, credit, pay, bill, currently, loan, pay, letter, credit, adani, group, produce, power, use, unit, plant, demand, electricity, dip, winter, unit, likely, production, summer, season, march, pdb, source, discussion, representative, adani, group, pdb, place, january, issue, discuss, meet, follow, adani, group, send, formal, letter, letter, issue, january, mention, content, discussion, adani, powerplant, suffer, liquidity, crisis, pay, adani, group, offer, waiver, delay, fee, december, pay, june, year, letter, request, outstanding, bill, interest, pdb, adani, group, early, adani, group, october, send, letter, authority, open, letter, credit, october, year, pdb, commit, pay, money, adani, group, late, shut, production, unit, october, pdb, authority, pdb, chairman, md, rezaul, karim, tell, prothom, alo, sunday, adani, group, remind, early, pay, pdb, receive, formal, letter, today, sunday, decision, pay, controversy, contract, sign, adani, group, special, power, act, float, tender, previous, awami, league, government, interim, government, repeal, special, power, act, know, immunity, act, apart, committee, form, review, contract, power, sector, committee, find, irregularity, power, purchase, contract, adani, group, work, recommendation, amend, contract, report, originally, publish, online, section, prothom, alo, rewrite, english, shameem, reza",5,Finance and Infrastructure
Nazrul’s grandson Babul Kazi dies from burn injuries,"babul, kazi, grandson, national, poet, kazi, nazrul, islam, pass, away, sunday, afternoon, battle, severe, burn, injury, babul, kazi, succumb, injury, pm, receive, treatment, national, institute, burn, plastic, surgery, nibps, confirm, dr, shawon, bin, rahman, resident, surgeon, hospital, dr, shawon, babul, sustain, burn, injury, minor, explosion, occur, saturday, light, cigarette, washroom, residence, family, member, rush, hospital, condition, worsen, babul, place, life, support, pm, saturday, dr, shawon, add",4,Conflict and International Relations
Bangladesh receives $1.21b in remittance in 18 days,"expatriate, bangladeshi, send, billion, remittance, day, january, fiscal, year, remittance, stateowned, specialise, bank, account, million, private, bank, receive, million, accord, bangladesh, bank, bb, datum, release, today, sunday, stateowned, commercial, bank, agrani, janata, rupali, sonali, basic, bdbl, receive, million, stateowned, specialise, bank, bangladesh, krishi, bank, receive, million, stateowned, bank, agrani, bank, receive, million, janata, bank, million, rupali, bank, million, sonali, bank, million, basic, bank, receive, million, high, million, remittance, come, country, islami, bank, bangladesh, ltd",5,Finance and Infrastructure
"MBBS admission test results published, pass rate 45.62pc","result, mbbs, admission, test, government, private, medical, college, session, publish, sunday, afternoon, result, publish, pm, pass, rate, year, cent, candidate, pass, admission, test, student, primarily, select, government, medical, college, country, directorate, general, medical, education, dgme, additional, director, general, medical, education, professor, rubina, yasmin, tell, prothom, alo, decision, publish, result, meet, noon, today, late, result, publish, pm, candidate, learn, result, mbbs, admission, test, website, know, result, dgme, website, apart, message, send, phone, numb, candidate, use, application",5,Finance and Infrastructure
